Type,Trans Date,Post Date,Description,Amount
Sale,3/6/2017,3/7/2017,PARKING IN PITTSBURGH 4,-2
Sale,3/6/2017,3/7/2017,PARKING IN PITTSBURGH 4,-1
Sale,3/4/2017,3/5/2017,FEDEX 785790636323,-10.68
Sale,3/4/2017,3/5/2017,FEDEX 890157897526,-3.73
Sale,3/3/2017,3/5/2017,FEDEXOFFICE   00019463,-2.02
Sale,3/3/2017,3/5/2017,STARBUCKS STORE 00751,-3.16
Sale,3/3/2017,3/5/2017,WINE & SPIRITS 0247,-18.18
Payment,3/3/2017,3/3/2017,Payment Thank You - Web,1442.7
Sale,3/2/2017,3/3/2017,TRADER JOE'S #638  QPS,-9.97
Sale,2/28/2017,3/1/2017,USPS PO 0723337500,-13.6
Sale,2/28/2017,3/1/2017,AVIS RENT-A-CAR 1,-133.63
Sale,2/28/2017,3/2/2017,VILLA PIZZA,-10.3
Sale,2/27/2017,2/28/2017,USPS PO 0723337500,-51.3
Sale,2/26/2017,2/28/2017,AMTRAK      0577366056999,-180
Sale,2/26/2017,2/27/2017,VCA ALAMEDA EAST #688,-258.85
Payment,2/24/2017,2/24/2017,Payment Thank You - Web,300
Sale,2/22/2017,2/23/2017,EXECUTIVE AUTO SHI,-200
Sale,2/22/2017,2/23/2017,AMAZON MKTPLACE PMTS,-12.48
Sale,2/20/2017,2/21/2017,TJMAXX #0252,-68.02
Sale,2/20/2017,2/21/2017,KIMPTON MONACO PORTLAND,-640.43
Sale,2/20/2017,2/22/2017,MILE HIGH HONDA ACURA/MIT,-39.17
Sale,2/19/2017,2/21/2017,MOD PIZZA PDX AIRPORT 33,-15.74
Sale,2/19/2017,2/20/2017,RICHNEWSST2708,-9.17
Sale,2/19/2017,2/20/2017,GREAT WALL CHINESE RESTAU,-15.02
Sale,2/19/2017,2/20/2017,PEET'S #05407,-5.95
Sale,2/18/2017,2/20/2017,STARBUCKS STORE 19506,-3.95
Sale,2/17/2017,2/19/2017,MARUKIN-2,-13.2
Sale,2/14/2017,2/15/2017,TARGET        00018069,-22.62
Sale,2/14/2017,2/15/2017,SQ *NEW SAIGON BAKERY & D,-14.52
Sale,2/14/2017,2/16/2017,SUDAN CAFE & BAKERY,-34.75
Payment,2/14/2017,2/14/2017,Payment Thank You - Web,184.56
Sale,2/9/2017,2/12/2017,THE HOME DEPOT #1526,-39.11
Sale,2/9/2017,2/12/2017,NORDSTROM RACK #136,-48.41
Sale,2/3/2017,2/5/2017,ARASH MARKET,-24.14
Sale,2/3/2017,2/6/2017,La Rumba,-5
Sale,2/2/2017,2/5/2017,THE IRISH SNUG,-6.75
Sale,1/31/2017,2/2/2017,DH SOUTHWEST CLINIC PHARM,-15
Payment,1/31/2017,1/31/2017,Payment Thank You - Web,382.43
Sale,1/31/2017,2/1/2017,MARCZYK FINE FOODS,-10.4
Sale,1/31/2017,2/1/2017,SQ *DOWNPOURS COFFEE,-5.4
Sale,1/30/2017,1/31/2017,USPS PO 0723337500,-6.65
Sale,1/30/2017,1/31/2017,WATERCOURSE FOODS,-12.72
Sale,1/30/2017,1/31/2017,MARCZYK FINE FOODS,-10.98
Sale,1/27/2017,1/30/2017,La Rumba,-5
Sale,1/27/2017,1/29/2017,HANDS ON HEALTH,-35
Sale,1/26/2017,1/30/2017,Cart-Driver,-20.48
Sale,1/26/2017,1/26/2017,AMAZON MKTPLACE PMTS,-11.95
Sale,1/26/2017,1/29/2017,FIRST DRAFT,-8.84
Sale,1/25/2017,1/27/2017,SOUTHWES    5260605428836,-15
Sale,1/25/2017,1/27/2017,SOUTHWES    5262482598100,-5.6
Sale,1/25/2017,1/27/2017,SOUTHWES    5260605428724,-15
Sale,1/25/2017,1/26/2017,ROVER.COM PET CARE,-64.2
Sale,1/25/2017,1/27/2017,SOUTHWES    5262482598642,-5.6
Sale,1/23/2017,1/24/2017,Etsy.com - LoveLuluBell,-26.49
Sale,1/22/2017,1/23/2017,SQ *BELLWETHER,-8.56
Sale,1/22/2017,1/23/2017,TARGET        00018069,-13.76
Sale,1/19/2017,1/20/2017,TRADER JOE'S #300 QPS,-13.68
Sale,1/19/2017,1/22/2017,STOCKADE WINE & LIQUORS,-45.41
Sale,1/19/2017,1/20/2017,ARASH MARKET,-56.58
Sale,1/19/2017,1/20/2017,TRADER JOE'S #310 QPS,-31.28
Payment,1/17/2017,1/17/2017,Payment Thank You - Web,1501.42
Payment,1/15/2017,1/15/2017,Payment Thank You - Web,700
Sale,1/13/2017,1/16/2017,FALLING ROCK TAPHOUSE,-8
Sale,1/12/2017,1/12/2017,AMAZON MKTPLACE PMTS,-40.9
Payment,1/12/2017,1/12/2017,Payment Thank You - Web,800
Sale,1/12/2017,1/13/2017,TCKTWEB*BRANDONTJACKSO,-96.56
Sale,1/11/2017,1/13/2017,TOKIO,-38.4
Sale,1/11/2017,1/13/2017,THE TERMINAL BAR,-41.15
Sale,1/11/2017,1/11/2017,Etsy.com - CustomStixcom,-24.99
Sale,1/11/2017,1/13/2017,SOUTHWES    5262478341014,-228.94
Sale,1/11/2017,1/11/2017,AMAZON MKTPLACE PMTS,-17.99
Sale,1/11/2017,1/13/2017,SOUTHWES    5262478341441,-228.94
Sale,1/10/2017,1/11/2017,APL* ITUNES.COM/BILL,-8.27
Payment,1/10/2017,1/10/2017,Payment Thank You - Web,2200
Sale,1/10/2017,1/11/2017,KAISER MEMBER SERVICES,-786.02
Sale,1/8/2017,1/10/2017,PEPPER ASIAN BISTRO,-22.17
Sale,1/7/2017,1/9/2017,MCDONALD'S M6653,-11.47
Payment,1/5/2017,1/5/2017,Payment Thank You - Web,145
Sale,1/5/2017,1/8/2017,SOUTHWES    5262476402209,-693.76
Fee,1/1/2017,1/1/2017,ANNUAL MEMBERSHIP FEE,-99
Sale,1/1/2017,1/3/2017,PROPERTY PAYMENT RENT,-2206.55
