Expense Category, Trans Date, Post Date, Merchant Name, Amount
Dining Out,01/16/17,01/18/17,PENN STATION COFFEE HOUS,10.46
Dining Out,01/16/17,01/18/17,PENN STATION COFFEE HOUS,28.78
Dining Out,01/17/17,01/18/17,TAVERN WASH PARK,28.76
Dining Out,01/20/17,01/22/17,BUTCHERS BISTRO,36.16
Dining Out,01/23/17,01/24/17,FLUID COFFEE BAR,3.43
Dining Out,01/23/17,01/25/17,D Bar Denver,24.44
Dining Out,01/24/17,01/25/17,TAVERN WASH PARK,54.09
Dining Out,01/25/17,01/26/17,PENN STATION COFFEE HOUS,12.54
Dining Out,01/29/17,01/30/17,LUCILES CREOLE CAFE,25.38
Dining Out,01/31/17,02/01/17,WALTERS 303 PIZZERIA AND,14.88
Dining Out,02/07/17,02/08/17,FLUID COFFEE BAR,5.2
Dining Out,02/08/17,02/09/17,SQ *THE DENVER BICYCLE CA,14.4
Dining Out,02/07/17,02/09/17,SUDAN CAFE & BAKERY,35
Dining Out,02/10/17,02/10/17,US THAI CAFE,26.46
Dining Out,02/09/17,02/10/17,CITY O CITY,24.58
Dining Out,02/11/17,02/13/17,WATSON`S WINE & SPIRITS,2.69
Dining Out,02/11/17,02/13/17,WATSON`S WINE & SPIRITS,2.69
Dining Out,02/13/17,02/15/17,SUBWAY        03162971,9.13
Dining Out,02/15/17,02/16/17,PENN STATION COFFEE HOUS,8.15
Dining Out,02/16/17,02/19/17,CARIBOU COFFEE,6.24
Dining Out,02/17/17,02/19/17,SQ *E-SAN FOODCART,11.5
Dining Out,02/19/17,02/19/17,SQ *SMALL PHARAOH,17
Dining Out,02/16/17,02/19/17,BYH BURGERS,13.5
Dining Out,02/17/17,02/20/17,CHERYL'S ON 12TH,30
Dining Out,02/18/17,02/20/17,TAQUERIA DEL SOL,14
Dining Out,02/18/17,02/20/17,SUBE SUSHI AND SAKE BAR,30
Dining Out,02/20/17,02/21/17,SQ *AFIA GRILL,24.62
Dining Out,02/22/17,02/23/17,FLUID COFFEE BAR,8.78
Dining Out,02/22/17,02/23/17,SQ *ZOE MA MA,13.28
Dining Out,02/23/17,02/24/17,FLUID COFFEE BAR,4.43
Dining Out,02/23/17,02/24/17,PENN STATION COFFEE HOUS,8.77
Dining Out,02/25/17,02/26/17,SQ *MELITA'S GREEK CAFE &,26.85
Dining Out,02/27/17,02/28/17,LUCILES CREOLE CAFE,25.95
Dining Out,02/26/17,02/28/17,D Bar Denver,30.92
Dining Out,02/27/17,02/28/17,SQ *ZOE MA MA,23.56
